user_ID,item_ID,rating
741,344,3.5
741,8874,4.5
741,74458,4.0
741,2395,4.5
741,3578,4.5
741,1246,4.0
741,300,3.0
741,7090,4.5
741,1280,3.5
741,318,4.0
741,2321,3.0
741,55765,3.5
741,837,4.0
741,77561,3.5
741,2085,4.0
741,293,3.5
741,247,3.5
741,784,4.0
741,3698,4.0
741,1267,4.0
741,317,3.0
1846,1591,2.5
1846,1370,3.0
1846,671,4.0
1846,2,3.0
1846,2085,4.0
1846,1267,4.0
1846,1717,2.0
1846,3159,3.5
1846,30810,3.5
1846,2028,5.0
1846,2617,4.0
1846,3698,2.0
1846,46578,3.5
1846,480,3.0
1846,93840,3.5
1846,165,3.0
1846,39183,4.0
1846,94959,4.0
1846,4226,4.0
1846,1544,2.5
1846,2359,2.5
1932,39183,1.5
1932,345,2.5
1932,380,3.0
1932,2288,4.0
1932,379,1.5
1932,30810,3.0
1932,592,3.5
1932,69526,3.5
1932,161,3.0
1932,27904,2.5
1932,940,2.5
1932,647,2.0
1932,1587,2.0
1932,2321,1.5
1932,8985,3.0
1932,24,2.5
1932,2005,5.0
1932,8874,4.5
1932,364,4.0
1932,56949,2.5
1932,593,4.0
2531,6947,3.5
2531,88744,3.5
2531,2657,2.0
2531,6620,3.5
2531,455,2.0
2531,48385,2.5
2531,45186,3.0
2531,471,3.5
2531,185,3.0
2531,4344,2.5
2531,653,2.0
2531,84944,4.0
2531,457,4.5
2531,2080,3.0
2531,4235,5.0
2531,21,4.0
2531,552,3.0
2531,46578,4.5
2531,442,2.5
2531,1249,4.5
2531,494,2.5
2547,39183,3.5
2547,1690,3.5
2547,440,3.5
2547,2297,3.0
2547,490,3.0
2547,2966,3.5
2547,54503,4.0
2547,2054,3.0
2547,2694,2.5
2547,481,4.0
2547,53953,3.5
2547,3489,2.5
2547,2722,2.5
2547,216,2.5
2547,253,3.5
2547,316,3.0
2547,8985,3.0
2547,84954,3.0
2547,22,3.5
2547,5620,3.0
2547,6936,3.5
3437,3536,3.0
3437,163,4.5
3437,41569,3.5
3437,2334,2.5
3437,1266,4.5
3437,246,4.0
3437,762,3.5
3437,480,4.5
3437,2094,3.0
3437,1690,4.0
3437,8371,3.5
3437,1672,4.0
3437,180,4.0
3437,836,2.5
3437,8464,3.0
3437,288,4.0
3437,2269,3.0
